h1,title,description,price_usd,area,property_type,country,object_id,url
Комплекс вилл с бассейнами в районе Таланг,Комплекс вилл с бассейнами в районе Таланг,"Новый комплекс вилл расположен в престижном районе Пхукета. Интерьер элегантных вилл выполнен из природных материалов премиум-класса. Из комплекса открывается живописный вид на горы. Комплекс подарит ощущения комфорта, райского спокойствия и единения с уникальной природой острова. До пляжа Най Янг 10 минут. Инфраструктура: Приватный бассейн, сад, джакузи и просторная терраса на территории каждой виллы, тренажерный зал, ресторан Доступные формы владения – Leasehold или Freehold. Площадь: 473 кв.м. Тип: Вилла с 3 спальнями Цена: от 32.440.000 THB до 35.013.000 THB",$ 897 868 - 969 083,473 м²,Вилла,Таиланд,9151,https://intermark.ru/objects/tailand-727256
Квартиры премиум-класса возле Банг Тао,Квартиры премиум-класса возле Банг Тао,"7-этажный жилой комплекс из 148 квартир расположен в престижном районе Лагуна вблизи одного из самых протяженных пляжей острова - Банг Тао. Современные апартаменты оборудованы мини-кухней или кладовой, барной стойкой или обеденной зоной, уютными спальнями и отдельными балконами в некоторых типах квартир. Комплекс находится в 5 минутах от пляжей Банг Тао и Лаян. Инфраструктура проекта: бассейн, тренажерный зал, спа-центр и сауна, детский клуб, парковка, библиотека, лобби и круглосуточная охрана территории. Мебель включена в стоимость. Форма владения - freehold или leasehold. Площадь: 35 кв.м. Тип: Студия Цена: от 4.865.000 THB до 5.834.400 THB",$ 133 911 - 160 594,35 м²,Квартира,Таиланд,9155,https://intermark.ru/objects/tailand-apartamenty-727260
Тропические виллы в районе Таланг,Тропические виллы в районе Таланг,"Современный комплекс вилл в районе Таланг – идеальное место для отдыха на солнечном Пхукете. Изысканный интерьер и импортная мебель из премиальных материалов создают неповторимое чувство уюта и комфорта. На территории каждой виллы располагаются просторная терраса и приватный бассейн. В 10 минутах от комплекса находится живописный пляж Лаян. В непосредственной близости находятся пляжи, поля для гольфа, магазины, торговый центр, аквапарк, аэропорт, международные школы и множество кафе и ресторанов. Доступные формы владения – Leasehold или Freehold. Площадь: 354 кв.м. Тип: Вилла с 3 спальнями Цена: 27.559.000 THB",$ 764 890,354 м²,Вилла,Таиланд,9153,https://intermark.ru/objects/tailand-villa-727258
Тропические виллы в районе Таланг,Тропические виллы в районе Таланг,"Современный комплекс вилл в районе Таланг – идеальное место для отдыха на солнечном Пхукете. Изысканный интерьер и импортная мебель из премиальных материалов создают неповторимое чувство уюта и комфорта. На территории каждой виллы располагаются просторная терраса и приватный бассейн. В 10 минутах от комплекса находится живописный пляж Лаян. В непосредственной близости находятся пляжи, поля для гольфа, магазины, торговый центр, аквапарк, аэропорт, международные школы и множество кафе и ресторанов. Доступные формы владения – Leasehold или Freehold. Площадь: 548 кв.м. Тип: Вилла с 4 спальнями Цена: от 38.158.000 THB до 40.060.000 THB",Цена по запросу,548 м²,Вилла,Таиланд,9154,https://intermark.ru/objects/tailand-villa-727259
Проект апараментов из шести 7-этажных зданий на Най Янг,Проект апараментов из шести 7-этажных зданий на Най Янг,"Новый кондоминиум из шести 7-этажных зданий находится в шаговой доступности от пляжа Най Янг. Кондоминиум предоставляет широкие возможности для интересного досуга, отдыха и фитнеса. Дизайн проекта сочетает современность и близость с природой за счет зеленой зоны в 3 750 кв.м. Общая зона занимает более 70% всей территории комплекса. Комплекс располагается в 5 минутах от пляжа Най Янг. В непосредственной близости находятся гольф-клуб, Национальный парк, аэропорт, множество кафе, ресторанов и магазинов. Инфраструктура в проекте: лобби, бассейны, джакузи, сауна, зона барбекю, коворкинг, кинотеатр и караоке, детская площадка, зона для йоги, парковка, фитнес-центр и многое другое Площадь: 26 - 39 кв.м. Тип: Апартаменты с 1 спальней Цена: от 2.860.000 THB до 5.421.000 THB",$ 79 290 - 150 291,26 м²,Кондоминиум,Таиланд,9159,https://intermark.ru/objects/tailand-apartamenty-727264
Комплекс от Catch Beach Club в Банг Тао,Комплекс от Catch Beach Club в Банг Тао,"Комплекс апартаментов в Чернгтале, расположенный в самом острова, в 850 метрах от культового пляжного клуба Catch Beach Club. На территории находится общий бассейн площадью 1.798 кв.м. - один из самых крупных на острове. Всего в комплексе 231 апартаментов. Их три типа: с одной спальней, а также две планировки с двумя спальнями, с ванной в одной из комнат. Застройщик дает гарантию качества отделочных материалов на 3 года. Площадь: 35 кв.м. Тип: Апартаменты с 1 спальней Цена: от 4.725.000 THB до 5.425.000 THB",$ 130 057 - 149 325,35 м²,Квартира,Таиланд,9157,https://intermark.ru/objects/tailand-apartamenty-727262
Виллы в современном тайском стиле в районе Найтон,Виллы в современном тайском стиле в районе Найтон,"Комплекс из 15 современных объектов, дизайн которых вдохновлен тайским и балийским стилем, расположен в районе пляжа Найтон. Юниты созданы из высококачественных материалов и гармонично вписываются в тропический ландшафт острова. Локация в окружении безмятежного моря и величественных гор идеально подходит для семейного отдыха. На территории каждой виллы есть приватный бассейн, сад и парковка Площадь: 185 кв.м. Тип: Вилла с двумя спальнями Цена: от 13.500.000 THB до 17.000.000 THB",$ 374 376 - 471 436,185 м²,Вилла,Таиланд,9163,https://intermark.ru/objects/tailand-villa-727268
Кондо-отель на пляже Банг Тао,Кондо-отель на пляже Банг Тао,"7-этажный элитный жилой комплекс с гостиничным управлением расположен в 500 метрах от великолепного пляжа Банг Тао. Всего в комплексе 180 апартаментов с изящным дизайном. При создании кондоминиума использовались высококачественные материалы и новейшие технологии строительства. Рядом с комплексом расположено множество объектов, необходимых для комфортной и яркой жизни: торговые центры, больница, аквапарк, гольф-клуб, аэропорт, яхт-клуб. Инфраструктура в проекте: лобби, 32-метровый бассейн на крыше, 2 ресторана, лаунж-зона и коктейльный бар на крыше, пекарня, коворкинг, детский клуб с детским бассейном, джакузи и сауна. Площадь: 33.67 кв.м. Тип: Студия Цена: от 5.753.000 THB до 5.841.745 THB",$ 159 010 - 161 463,34 м²,Квартира,Таиланд,9162,https://intermark.ru/objects/tailand-727267
Апартаменты премиум-класса возле пляжа Банг Тао,Апартаменты премиум-класса возле пляжа Банг Тао,"7-этажный жилой комплекс из 148 апартаментов расположен в престижном районе Лагуна Пхукет вблизи одного из самых протяженных пляжей острова - Банг Тао. Современные апартаменты оборудованы мини-кухней или кладовой, барной стойкой или обеденной зоной, уютными спальнями и отдельными балконами в некоторых типах квартир. Комплекс находится в 5 минутах от пляжей Банг Тао и Лаян. Инфраструктура проекта: бассейн, тренажерный зал, спа-центр и сауна, детский клуб, парковка, библиотека, лобби и круглосуточная охрана территории. Мебель включена в стоимость. Форма владения - freehold или leasehold. Площадь: 75 - 79 кв.м. Тип: Апартаменты с 2 спальнями Цена: от 10.513.800 THB до 13.635.000 THB",$ 289 397 - 375 309,75 м²,Квартира,Таиланд,9156,https://intermark.ru/objects/tailand-apartamenty-727261
Объекты в современном тайском стиле в районе Найтон,Объекты в современном тайском стиле в районе Найтон,"Комплекс из 15 современных объектов, дизайн которых вдохновлен тайским и балийским стилем, расположен в районе пляжа Найтон. Объекты созданы из высококачественных материалов и гармонично вписываются в тропический ландшафт острова. Локация в окружении безмятежного моря и величественных гор идеально подходит для семейного отдыха. На территории каждой виллы есть приватный бассейн, сад и парковка Площадь: 205 кв.м. Тип: Вилла с тремя спальнями Цена: от 14.500.000 THB до 18.000.000 THB",$ 402 107 - 499 168,205 м²,Вилла,Таиланд,9164,https://intermark.ru/objects/tailand-villa-727269
Современные апартаменты рядом с пляжем Банг Тао,Современные апартаменты рядом с пляжем Банг Тао,"Новый кондоминиум премиум-класса состоит из двух зданий, всего в комплексе 140 современных апартаментов. Проект расположен в 6 минутах и 500 метрах от живописного пляжа Банг Тао. Высококачественные материалы и новейшие технологии строительства, которые использовались при создании комплекса, обеспечат комфортное и безопасное проживание. В непосредственной близости находятся рестораны, гольф-поля, спа-салоны, множество кафе и магазинов. Инфраструктура: Лобби, бассейн, ресторан и бар, коктейльный бар на крыше, коворкинг, детская зона Площадь: 35.74 кв.м. Тип: Студия Цена: от 4.824.900 THB до 7.505.400 THB Площадь: 53.59 кв.м. Тип: Апартаменты с 1 спальней Цена: от 7.234.650 THB до 11.253.900 THB Площадь: 79.43 - 98.06 кв.м. Тип: Апартаменты с 2 спальнями Цена: от 10.325.900 THB до 13.728.400 THB Площадь: 95.95 кв.м. Тип: Апартаменты с 3 спальнями Цена: от 12.473.500 THB до 13.433.000 THB",Цена по запросу,36 м²,Квартира,Таиланд,9161,https://intermark.ru/objects/tailand-apartamenty-727266
Современная недвижимость рядом  Банг Тао,Современная недвижимость рядом  Банг Тао,"Новый кондо премиум-класса состоит из двух зданий, всего в комплексе 140 современных апартов. Проект расположен в 6 минутах и 500 метрах от живописного пляжа Банг Тао. Высококачественные материалы и новейшие технологии строительства, которые использовались при создании объекта, обеспечат комфортное и безопасное проживание. В непосредственной близости находятся рестораны, гольф-поля, спа-салоны, множество кафе и магазинов. Инфраструктура: Лобби, бассейн, ресторан и бар, коктейльный бар на крыше, коворкинг, детская зона Площадь: 35.74 кв.м. Тип: Студия Цена: от 4.824.900 THB до 7.505.400 THB Площадь: 53.59 кв.м. Тип: Апартаменты с 1 спальней Цена: от 7.234.650 THB до 11.253.900 THB Площадь: 79.43 - 98.06 кв.м. Тип: Апартаменты с 2 спальнями Цена: от 10.325.900 THB до 13.728.400 THB Площадь: 95.95 кв.м. Тип: Апартаменты с 3 спальнями Цена: от 12.473.500 THB до 13.433.000 THB",$ 133 358 - 371 284,36 м²,Кондоминиум,Таиланд,9160,https://intermark.ru/objects/tailand-apartamenty-727265
Комплекс апартаментов на пляже Банг Тао,Комплекс апартаментов на пляже Банг Тао,"Современный кондоминиум, состоящий из двух 5-этажных зданий, расположен в развитом инфраструктурном районе острова на берегу пляжа Банг Тао. Жилой комплекс отличается уникальным дизайном с азиатским флером и исключительным комфортом. Из апартаментов открывается потрясающий вид на море и тропическую природу Пхукета. Живописный пляж Банг Тао находится в 200 метрах от комплекса. В непосредственной близости находятся: - Пляж Сурин – 5 минут - Пляж Камала – 11 минут - Catch Beach Club – 3 минуты - Аквапарк Blue Tree – 10 минут - Гольф-клуб Laguna – 10 минут - Торговый центр Boat Avenue – 5 минут - Супермаркет Villa Market – 5 минут Инфраструктура проекта: бассейны, сауна, спортивный зал, парковка, лобби, терраса, коворкинг, детская площадка Площадь: 62,5 - 85,5 кв.м. Тип: Апартаменты с одной спальней Цена: от 8.562.500 THB до 11.713.500 THB",$ 238 842 - 326 736,62 м²,Квартира,Таиланд,9173,https://intermark.ru/objects/tailand-apartamenty-727275
Стильные апартаменты в районе Банг Тао,Стильные апартаменты в районе Банг Тао,"Проект расположен в популярном районе Банг Тао вблизи престижного гольф-клуба Лагуна. Всего в комплексе 340 апартаментов в двух жилых зданиях. Просторные планировки, изысканный дизайн и разнообразная инфраструктура комплекса предоставляет широкие возможности для отдыха и развлечений: бассейны, лобби, ресторан, спа-салон, бар у бассейна, библиотека, лаунж-зона и два фитнес-центра Удобная локация комплекса апартаментов обеспечивает легкодоступность к яркой и разнообразной жизни острова. В непосредственной близости располагаются множество кафе, ресторанов, магазинов и пляжных клубов. Самый протяженный пляж Банг Тао находится всего в 1100 метрах от проекта. Чистое море, мягкий песок и потрясающие виды подарят райское наслаждение. Площадь: 111 кв.м. Тип: Апартаменты с тремя спальнями Цена: от 16.650.000 THB до 18.315.000 THB",$ 465 213 - 511 735,111 м²,Квартира,Таиланд,9177,https://intermark.ru/objects/tailand-apartamenty-727279
Недвижимость курортного типа на пляже Камала,Недвижимость курортного типа на пляже Камала,"Современный кондоминиум, состоящий из 14 зданий, расположен на склоне холма, откуда открываются потрясающие виды на тропическую природу острова и океан. Стильные апартаменты оснащены полным пакетом мебели. Инфраструктура  комплекса предоставляет все необходимое для яркой и насыщенной жизни: лобби и ресепшн премиум-класса, бассейны, каскадный бассейн с лаундж-зоной, ресторан, бары, клубный дом, фитнес и спа, парковка, круглосуточная охрана. Локация в центре западного побережья Пхукета на живописном пляже Камала. В непосредственной близости находятся популярные пляжные клубы, торговые центры, множество кафе, ресторанов и магазинов. Для разных типов юнитов доступны различные варианты доходности: гарантированная - 6% в течение 3 лет, рентал пул 70/30 и 50/50. Площадь: 28 - 38 кв.м. Тип: Студия Цена: от 4.335.000 THB до 11.390.000 THB",$ 121 530 - 319 315,28 м²,Кондоминиум,Таиланд,9182,https://intermark.ru/objects/tailand-apartamenty-727283
Апартаменты курортного типа на пляже Камала,Апартаменты курортного типа на пляже Камала,"Современный кондоминиум, состоящий из 14 зданий, расположен на склоне холма, откуда открываются потрясающие виды на тропическую природу острова и океан. Стильные апартаменты оснащены полным пакетом мебели. Инфраструктура  комплекса предоставляет все необходимое для яркой и насыщенной жизни: лобби и ресепшн премиум-класса, бассейны, каскадный бассейн с лаундж-зоной, ресторан, бары, клубный дом, фитнес и спа, парковка, круглосуточная охрана. Локация в центре западного побережья Пхукета на живописном пляже Камала. В непосредственной близости находятся популярные пляжные клубы, торговые центры, множество кафе, ресторанов и магазинов. Для разных типов юнитов доступны различные варианты доходности: гарантированная - 6% в течение 3 лет, рентал пул 70/30 и 50/50. Площадь: 38 кв.м. Тип: Апартаменты с одной спальней Цена: от 6.000.000 THB до 7.089.810 THB",$ 168 208 - 198 761,38 м²,Квартира,Таиланд,9183,https://intermark.ru/objects/tailand-apartamenty-727284
Стильные апартаменты в районе Банг Тао,Стильные апартаменты в районе Банг Тао,"Проект расположен в популярном районе Банг Тао вблизи престижного гольф-клуба Лагуна. Всего в комплексе 340 апартаментов в двух жилых зданиях. Просторные планировки, изысканный дизайн и разнообразная инфраструктура комплекса предоставляет широкие возможности для отдыха и развлечений: бассейны, лобби, ресторан, спа-салон, бар у бассейна, библиотека, лаунж-зона и два фитнес-центра Удобная локация комплекса апартаментов обеспечивает легкодоступность к яркой и разнообразной жизни острова. В непосредственной близости располагаются множество кафе, ресторанов, магазинов и пляжных клубов. Самый протяженный пляж Банг Тао находится всего в 1100 метрах от проекта. Чистое море, мягкий песок и потрясающие виды подарят райское наслаждение. Площадь: 56 кв.м. Тип: Апартаменты с двумя спальнями Цена: от 6.720.000 THB до 8.400.000 THB",$ 187 761 - 234 702,56 м²,Квартира,Таиланд,9176,https://intermark.ru/objects/tailand-apartamenty-727278
Стильный объект вблизи престижного гольф-клуба Лагуна в Банг Тао,Стильный объект вблизи престижного гольф-клуба Лагуна в Банг Тао,,$ 95 669 - 139 564,32 м²,Квартира,Таиланд,9175,https://intermark.ru/objects/tailand-apartamenty-727277
Комплекс апартаментов на пляже Банг Тао,Комплекс апартаментов на пляже Банг Тао,"Современный кондоминиум, состоящий из двух 5-этажных зданий, расположен в развитом инфраструктурном районе острова на берегу пляжа Банг Тао. Жилой комплекс отличается уникальным дизайном с азиатским флером и исключительным комфортом. Из апартаментов открывается потрясающий вид на море и тропическую природу Пхукета. Живописный пляж Банг Тао находится в 200 метрах от комплекса. В непосредственной близости находятся: - Пляж Сурин – 5 минут - Пляж Камала – 11 минут - Catch Beach Club – 3 минуты - Аквапарк Blue Tree – 10 минут - Гольф-клуб Laguna – 10 минут - Торговый центр Boat Avenue – 5 минут - Супермаркет Villa Market – 5 минут Инфраструктура проекта: бассейны, сауна, спортивный зал, парковка, лобби, терраса, коворкинг, детская площадка. Площадь: 80,75 - 176,5 кв.м. Тип: Апартаменты с двумя спальнями Цена: от 12.193.250 THB до 24.533.500 THB",Цена по запросу,80 м²,Квартира,Таиланд,9174,https://intermark.ru/objects/tailand-apartamenty-727276
Новый комплекс апартаментов в городской части Пхукета,Новый комплекс апартаментов в городской части Пхукета,"Современный кондоминиум, состоящий из двух зданий, расположен вблизи Central Festival. Стильные апартаменты с 1-2 спальнями предлагаются к покупке в трех вариантах отделки. Развитая инфраструктура комплекса предоставляет широкий выбор вариантов для отдыха и развлечений: лобби, бассейн, джакузи, фитнес центр, приватная комната для караоке и мини-кинотеатр, коворкинг, парковка на 80 машин. Преимуществами локации являются удобная транспортная развязка, непосредственная близость к туристическим достопримечательностям, торговым центрам, больницам, школам и другим развлечениям. Площадь: 68 - 90 кв.м. Тип: Апартаменты с двумя спальнями Цена: от 7.580.000 THB до 10.450.000 THB",$ 211 436 - 291 492,68 м²,Квартира,Таиланд,9172,https://intermark.ru/objects/tailand-apartamenty-727274
Виллы с бассейнами в районе Раваи,Виллы с бассейнами в районе Раваи,"Комплекс из 16 современных объектов расположен в прекрасном районе Раваи.  Доступны юниты с тремя и четырьмя спальнями, светлый и просторный интерьер которых создает все условия для комфортной и расслабленной жизни. Дома станут отличным вариантом как для инвестиций, так и для постоянного проживания. На территории каждой виллы есть приватный бассейн, сад и парковка. До пляжей Раваи и Най Харн 10 минут езды на машине. Район Раваи обладает развитой инфраструктурой, в непосредственной близости находится множество ресторанов, кафе, магазинов, спа-салонов, спортивных клубов, детских садов и школ. Площадь: 190 - 234 кв.м. Тип: Вилла с тремя спальнями Цена: от 11.800.000 THB до 16.520.000 THB",$ 327 141 - 457 998,190 м²,Вилла,Таиланд,9168,https://intermark.ru/objects/tailand-villa-727270
Апартаменты в городской части Пхукета,Апартаменты в городской части Пхукета,"Современный камерный проект в городской части острова, в пешей доступности до Central Phuket, крупных супермаркетов, ресторанов, международных школ и больниц. Стильные апартаменты c 1-3 спальнями предлагаются к покупке в трех вариантах отделки. Первая фаза комплекса уже сдана – это подтверждает надежность девелопера. Сейчас строится вторая фаза, где доступны pet-friendly апартаменты – востребованный формат для арендаторов и семей с животными. Развитая инфраструктура комплекса предоставляет широкий выбор вариантов для отдыха и развлечений: лобби, бассейн, джакузи, фитнес центр, приватная комната для караоке и мини-кинотеатр, коворкинг, парковка на 80 машин. Уникальная рассрочка под 6-8% на 15 лет после сдачи проекта. Локация: 15 минут до Патонга, рядом Central Phuket, международные школы и больницы.",$ 77 000,29 м²,Квартира,Таиланд,9171,https://intermark.ru/objects/tailand-apartamenty-727273
Ультрасовременные апартаменты в самом популярном районе Бангкока,Ультрасовременные апартаменты в самом популярном районе Бангкока,"Современные апартаменты на высоте птичьего полета. Кондоминиум состоит из трех башен, самая высокая из которых состоит из 59 этажей. Развитая инфраструктура комплекса открывает широкие возможности для комфортной жизни, работы и отдыха: лобби, бары, фитнес залы, зона для йоги, бассейны, джакузи, онсен, игровые комнаты, приватный кинотеатр, коворкинг, сад, зона для бокса и многое другое. Проект расположенном в ""японском"" квартале Тхонг Ло. Меньше километра до станции надземного метро BTS, считанные метры до торговых центров с брендовыми бутиками, изысканных ресторанов и модных баров, больниц, школ и университетов, а также множества кафе и магазинов. Площадь: 30.54 - 36.14 кв.м. Тип: Апартаменты с одной спальней Цена: от 9.170.000 THB до 11.180.000 THB",$ 256 073 - 312 203,31 м²,Квартира,Таиланд,9199,https://intermark.ru/objects/tailand-apartamenty-727300
Просторные виллы в районе Таланг,Просторные виллы в районе Таланг,"Комплекс из 18 тропических объектов расположен в районе Таланг, недалеко от прекрасных пляжей Банг Тао и Лаян. Дизайн гармонично вписывается в ландшафт острова. На каждом объекте есть просторная терраса с приватным бассейном и зоной для отдыха. Комплекс обеспечивает исключительный комфорт и конфиденциальность. Удобная дорожная развязка предоставляет легкий доступ к пляжам Лаян и Банг Тао. Инфраструктура рядом с комплексом: - Супермаркет Lotus – 4.2 км - Полицейский участок района Таланг – 3.9 км - Международная школа UWC Thailand – 5.9 км - Супермаркет Villa Market – 6.8 км - Торговый центр Boat Avenue – 6.8 км - Национальный парк Khao Phra Thaeo – 6.8 км - Торговый центр Porto de Phuket – 6.9 км Площадь: 273 - 297 кв.м. Тип: Вилла с тремя спальнями Цена: от 17.990.000 THB до 20.850.000 THB",$ 504 345 - 584 524,273 м²,Вилла,Таиланд,9188,https://intermark.ru/objects/tailand-villa-727289
Эко-апартаменты жкв районе Лаян,Эко-апартаменты жкв районе Лаян,"Современный жилой комплекс состоит из двух фаз. В первой фазе расположены шесть 5-этажных зданий, во второй – три 7-этажных здания. Всего в комплексе 845 апартаментов. Экологическая концепция проекта заложила основу принципа построения “архитектуры вокруг ландшафта”. Комплекс гармонично вписывается в тропическую природу острова. При строительстве используются натуральные материалы и обильное озеленение территории. Уникальная программа арендной доходности - 6% на 5 лет + 10 лет рентал пул 80/20. Инфраструктура в проекте: бассейны, спа, бар и бассейн на крыше, ресторан, фитнес-центр, банкетный зал, конференц-зал, лаунж зона, детский клуб. Комплекс апартаментов находится всего в 400 метрах от живописного пляжа Лаян. Проект расположен рядом со множеством развлечений и достопримечательностей, включая аквапарк Blue Tree Phuket, гольф-клуб Laguna и Национальный парк Sirinat. Площадь: 25 - 58.36 кв.м. Тип: Студия Цена: от 4.227.600 THB до 11.390.000 THB",$ 118 519 - 319 315,25 м²,Квартира,Таиланд,9184,https://intermark.ru/objects/tailand-apartamenty-727285
Комплекс эко-апартаментов в районе Лаян,Комплекс эко-апартаментов в районе Лаян,"Современный жилой комплекс состоит из двух фаз. В первой фазе расположены шесть 5-этажных зданий, во второй – три 7-этажных здания. Всего в комплексе 845 апартаментов. Экологическая концепция проекта заложила основу принципа построения “архитектуры вокруг ландшафта”. Комплекс гармонично вписывается в тропическую природу острова. При строительстве используются натуральные материалы и обильное озеленение территории. Уникальная программа арендной доходности - 6% на 5 лет + 10 лет рентал пул 80/20. Инфраструктура в проекте: бассейны, спа, бар и бассейн на крыше, ресторан, фитнес-центр, банкетный зал, конференц-зал, лаунж зона, детский клуб. Комплекс апартаментов находится всего в 400 метрах от живописного пляжа Лаян. Проект расположен рядом со множеством развлечений и достопримечательностей, включая аквапарк Blue Tree Phuket, гольф-клуб Laguna и Национальный парк Sirinat. Площадь: 71 кв.м. Тип: Апартаменты с тремя спальнями Цена: от 12.973.300 THB до 16.207.100 THB",$ 363 703 - 454 362,74 м²,Квартира,Таиланд,9187,https://intermark.ru/objects/tailand-apartamenty-727288
Комплекс эко-апартаментов в районе Лаян,Комплекс эко-апартаментов в районе Лаян,"Современный жилой комплекс состоит из двух фаз. В первой фазе расположены шесть 5-этажных зданий, во второй – три 7-этажных здания. Всего в комплексе 845 апартаментов. Экологическая концепция проекта заложила основу принципа построения “архитектуры вокруг ландшафта”. Комплекс гармонично вписывается в тропическую природу острова. При строительстве используются натуральные материалы и обильное озеленение территории. Уникальная программа арендной доходности - 6% на 5 лет + 10 лет рентал пул 80/20. Инфраструктура в проекте: бассейны, спа, бар и бассейн на крыше, ресторан, фитнес-центр, банкетный зал, конференц-зал, лаунж зона, детский клуб. Комплекс апартаментов находится всего в 400 метрах от живописного пляжа Лаян. Проект расположен рядом со множеством развлечений и достопримечательностей, включая аквапарк Blue Tree Phuket, гольф-клуб Laguna и Национальный парк Sirinat. Площадь: 71 - 74 кв.м. Тип: Апартаменты с двумя спальнями Цена: от 13.346.900 THB до 15.511.900 THB",$ 374 177 - 434 872,71 м²,Квартира,Таиланд,9186,https://intermark.ru/objects/tailand-apartamenty-727287
Комплекс эко-апартаментов в районе Лаян,Комплекс эко-апартаментов в районе Лаян,"Современный жилой комплекс состоит из двух фаз. В первой фазе расположены шесть 5-этажных зданий, во второй – три 7-этажных здания. Всего в комплексе 845 апартаментов. Экологическая концепция проекта заложила основу принципа построения “архитектуры вокруг ландшафта”. Комплекс гармонично вписывается в тропическую природу острова. При строительстве используются натуральные материалы и обильное озеленение территории. Уникальная программа арендной доходности - 6% на 5 лет + 10 лет рентал пул 80/20. Инфраструктура в проекте: бассейны, спа, бар и бассейн на крыше, ресторан, фитнес-центр, банкетный зал, конференц-зал, лаунж зона, детский клуб. Комплекс апартаментов находится всего в 400 метрах от живописного пляжа Лаян. Проект расположен рядом со множеством развлечений и достопримечательностей, включая аквапарк Blue Tree Phuket, гольф-клуб Laguna и Национальный парк Sirinat. Площадь: 35.5 - 51.26 кв.м. Тип: Апартаменты с одной спальней Цена: от 6.479.600 THB до 10.441.200 THB",$ 181 654 - 292 716,35 м²,Квартира,Таиланд,9185,https://intermark.ru/objects/tailand-apartamenty-727286
Ультрасовременные апартаменты в самом популярном районе Бангкока,Ультрасовременные апартаменты в самом популярном районе Бангкока,"Современные апартаменты на высоте птичьего полета. Кондоминиум состоит из трех башен, самая высокая из которых состоит из 59 этажей. Развитая инфраструктура комплекса открывает широкие возможности для комфортной жизни, работы и отдыха: лобби, бары, фитнес залы, зона для йоги, бассейны, джакузи, онсен, игровые комнаты, приватный кинотеатр, коворкинг, сад, зона для бокса и многое другое. Проект расположенном в ""японском"" квартале Тхонг Ло. Меньше километра до станции надземного метро BTS, считанные метры до торговых центров с брендовыми бутиками, изысканных ресторанов и модных баров, больниц, школ и университетов, а также множества кафе и магазинов. Площадь: 33.46 - 51.61 кв.м. Тип: Апартаменты с двумя спальнями Цена: от 12.440.000 THB до 19.800.000 THB",$ 347 388 - 552 918,33 м²,Квартира,Таиланд,9200,https://intermark.ru/objects/tailand-apartamenty-727301
